iter	Passed	Remaining
249	465	1397
250	467	1393
251	468	1389
252	469	1385
253	470	1380
254	471	1376
255	472	1371
256	472	1367
257	473	1362
258	474	1358
259	475	1354
260	476	1349
261	477	1344
262	478	1340
263	479	1335
264	479	1331
265	480	1326
266	482	1323
267	483	1320
268	484	1316
269	485	1311
270	486	1307
271	487	1303
272	488	1299
273	489	1295
274	489	1291
275	490	1287
276	491	1282
277	492	1278
278	493	1274
279	494	1270
280	495	1266
281	495	1262
282	497	1259
283	498	1256
284	499	1253
285	500	1249
286	501	1245
287	502	1241
288	503	1238
289	504	1234
290	505	1230
291	505	1226
292	506	1222
293	507	1218
294	508	1214
295	509	1210
296	509	1206
297	510	1203
298	511	1200
299	513	1197
300	514	1194
301	515	1190
302	516	1187
303	517	1183
304	518	1180
305	519	1177
306	519	1173
307	520	1170
308	521	1166
309	522	1163
310	523	1159
311	524	1156
312	525	1152
313	526	1149
314	527	1146
315	528	1144
316	529	1141
317	530	1138
318	531	1134
319	532	1131
320	533	1128
321	534	1124
322	535	1121
323	535	1117
324	536	1114
325	537	1111
326	538	1108
327	539	1105
328	540	1101
329	541	1098
330	542	1096
331	543	1094
332	544	1091
333	545	1088
334	546	1085
335	547	1082
336	548	1079
337	549	1075
338	550	1072
339	550	1069
340	551	1066
341	552	1063
342	553	1060
343	554	1056
344	555	1053
345	555	1050
346	557	1049
347	558	1046
348	559	1043
349	560	1040
350	561	1037
351	562	1035
352	563	1032
353	563	1029
354	564	1026
355	565	1023
356	566	1020
357	567	1017
358	568	1014
359	568	1011
360	569	1008
361	570	1005
362	572	1003
363	573	1001
364	574	999
365	575	996
366	576	993
367	577	991
368	578	988
369	578	985
370	579	983
371	580	980
372	581	977
373	582	974
374	583	972
375	584	969
376	584	966
377	585	963
378	587	962
379	588	960
380	589	957
381	590	955
382	591	952
383	591	949
384	592	946
385	593	944
386	594	941
387	595	939
388	596	936
389	596	933
390	597	931
391	598	928
392	599	925
393	600	923
394	601	920
395	602	918
396	603	916
397	604	914
398	605	911
399	606	909
400	607	906
401	607	904
402	608	901
403	609	899
404	610	896
405	611	894
406	612	891
407	613	889
408	613	887
409	614	884
410	615	882
411	616	880
412	617	878
413	618	875
414	619	873
415	620	871
416	621	868
417	622	866
418	623	864
419	624	861
420	625	859
421	625	857
422	626	854
423	627	852
424	628	850
425	629	847
426	630	845
427	630	843
428	632	841
429	633	839
430	634	837
431	635	835
432	636	832
433	637	830
434	638	828
435	638	826
436	639	824
437	640	821
438	641	819
439	642	817
440	643	815
441	643	812
442	644	810
443	645	808
444	646	806
445	647	804
446	648	802
447	649	800
448	650	797
449	651	795
450	651	793
451	652	791
452	653	789
453	654	786
454	655	784
455	656	782
456	656	780
457	657	778
458	658	776
459	659	774
460	660	772
461	661	770
462	662	768
463	663	766
464	664	764
465	665	762
466	666	760
467	667	758
468	668	756
469	669	754
